"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"597373","Specie","Dryopteris filix-mas","Felce maschio","https://www.florae.it/?id=6481","http://www.actaplantarum.org/flora/flora_info.php?id=75","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=129"
"6099595","Specie","Dryopteris oreades","Felce abbreviata","https://www.florae.it/?id=6480","http://www.actaplantarum.org/flora/flora_info.php?id=76","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=128"
"6098626","Specie","Dryopteris affinis","Felce pelosa","https://www.florae.it/?id=6478","http://www.actaplantarum.org/flora/flora_info.php?id=67","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=131"
"6100147","Specie","Dryopteris villarii","Felce di di Villars","https://www.florae.it/?id=6476","http://www.actaplantarum.org/flora/flora_info.php?id=81","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=125"
"597460","Specie","Dryopteris cristata","Felce pettinata","https://www.florae.it/?id=6475","http://www.actaplantarum.org/flora/flora_info.php?id=72","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=123"
"400964","Specie","Polystichum braunii","Felce di Braun","https://www.florae.it/?id=6473","http://www.actaplantarum.org/flora/flora_info.php?id=130","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=137"
"6086987","Specie","Polystichum aculeatum","Felce aculeata","https://www.florae.it/?id=6472","http://www.actaplantarum.org/flora/flora_info.php?id=129","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=136"
"6100676","Specie","Polystichum setiferum","Felce setifera","https://www.florae.it/?id=6471","http://www.actaplantarum.org/flora/flora_info.php?id=132","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=135"
"492425","Specie","Polystichum lonchitis","Felce lonchite","https://www.florae.it/?id=6470","http://www.actaplantarum.org/flora/flora_info.php?id=131","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=134"
"597331","Specie","Woodsia alpina","Felcetta alpina","https://www.florae.it/?id=6468","http://www.actaplantarum.org/flora/flora_info.php?id=145","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=107"
"597309","Specie","Woodsia ilvensis","Felcetta pelosa","https://www.florae.it/?id=6467","http://www.actaplantarum.org/flora/flora_info.php?id=146","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=106"
"600380","Specie","Cystopteris montana","Felcetta montana","https://www.florae.it/?id=6463","http://www.actaplantarum.org/flora/flora_info.php?id=59","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=113"
"29365205","Specie","Cystopteris dickieana","Felcetta dickieana","https://www.florae.it/?id=6462","http://www.actaplantarum.org/flora/flora_info.php?id=57","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=112"
"600384","Specie","Cystopteris fragilis","Felcetta fragile","https://www.florae.it/?id=6461","http://www.actaplantarum.org/flora/flora_info.php?id=58","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=109"
"6085555","Specie","Phyllitis hemionitis","Scolopendria emionitide","https://www.florae.it/?id=6457","http://www.actaplantarum.org/flora/flora_info.php?id=122","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=104"
